Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
84,Devin Harris\harride01,PG,31,DAL,4,0,18.5,2,5.8,0.348,0,2.8,0,2,3,0.667,0.348,2,2.3,0.889,0.3,1.8,2,1,0.5,0,1,2.5,6,5.8,0.445,0.478,0.391,1.3,10.1,5.6,7.1,1.3,0,12.9,17.1,0,0,0,-0.031,-4.5,0.3,-4.2,0
85,Joe Harris\harrijo01,SG,23,CLE,6,0,2.7,0.3,1,0.333,0.2,0.5,0.333,0.2,0.5,0.333,0.417,0.5,0.7,0.75,0,0.2,0.2,0.2,0,0,0.2,0.2,1.3,10.9,0.515,0.5,0.667,0,6.8,3.4,10.7,0,0,11.4,24.8,0,0,0,0.064,-2.1,-4.8,-6.9,0
86,Spencer Hawes\hawessp01,PF,26,LAC,8,0,7.1,1.1,2.1,0.529,0.4,0.8,0.5,0.8,1.4,0.545,0.618,0.3,0.3,1,0.4,1.3,1.6,0.6,0.3,0.4,0.1,1.5,2.9,18.8,0.643,0.353,0.118,5.6,18.2,12,13.3,1.7,4.5,5.3,14.4,0.2,0.1,0.3,0.216,1.9,3.3,5.2,0.1
87,Brendan Haywood\haywobr01,C,35,CLE,1,0,2,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,-21,0,0,0,0,0,0,0,0,0,0,22.7,0,0,0,-0.521,-21.3,-5.2,-26.5,0
88,John Henson\hensojo01,C,24,MIL,6,0,25.5,4,6.8,0.585,0,0.2,0,4,6.7,0.6,0.585,0.8,2.3,0.357,3.5,4.5,8,0.7,0.8,1.7,1.8,2.3,8.8,17.4,0.562,0.024,0.341,13.4,20.5,16.6,4.9,1.7,5.8,18.9,17.1,0.1,0.2,0.3,0.087,-2.9,3.3,0.3,0.1
89,Nene Hilario\hilarne01,PF,32,WAS,10,10,25.7,3.4,7.6,0.447,0,0,,3.4,7.6,0.447,0.447,1.1,2.3,0.478,2.5,4.1,6.6,1.5,0.9,0.3,1.4,3.2,7.9,11.1,0.459,0,0.303,10.9,16.8,13.9,9.2,1.8,0.9,14,17.3,0,0.4,0.4,0.074,-1.9,2.1,0.1,0.1
90,Kirk Hinrich\hinriki01,SG,34,CHI,10,0,12.6,0.9,1.9,0.474,0.6,1,0.6,0.3,0.9,0.333,0.632,0.2,0.3,0.667,0,0.5,0.5,1.1,0.3,0.1,0.1,1.4,2.6,9.2,0.64,0.526,0.158,0,4.3,2.2,13.5,1.3,0.6,4.7,7.7,0.2,0.1,0.4,0.134,0.1,-1.5,-1.4,0
91,Jrue Holiday\holidjr01,PG,24,NOP,3,0,18.3,2.3,6.3,0.368,0.3,1.3,0.25,2,5,0.4,0.395,1.3,1.3,1,0.7,0.3,1,4.3,0.7,0.3,1.7,1,6.3,13.6,0.458,0.211,0.211,4.1,2,3,36.7,1.9,1.6,19.4,21.4,0,0,0,-0.027,-4.1,0,-4.1,0
92,Justin Holiday\holidju01,SG,25,GSW,5,0,2.2,0.2,0.4,0.5,0.2,0.2,1,0,0.2,0,0.75,0,0,,0,0.2,0.2,0.2,0,0,0.4,0.2,0.6,1.9,0.75,0.5,0,0,9.8,5,13.1,0,0,50,16.3,0,0,0,-0.078,-6.1,-2.2,-8.3,0
93,Al Horford\horfoal01,C,28,ATL,16,16,32.6,6.7,13.2,0.507,0.1,0.6,0.222,6.6,12.6,0.52,0.512,0.9,1.3,0.75,2.5,6.1,8.6,3.7,0.8,1.4,1.6,2.1,14.4,19.8,0.525,0.043,0.095,8.2,20.1,14.2,20.4,1.3,3.6,10.2,21.4,0.8,0.7,1.5,0.141,0.6,2.7,3.3,0.7
